names
ATLANTIC.CITY_NJ.All.JGS.SAFE.PROPORTION
BARNEGAT.LIGHT.LONG.BEACH_NJ.All.JGS.SAFE.PROPORTION
BEALS.ISLAND_ME.All.JGS.SAFE.PROPORTION
BOSTON_MA.All.JGS.SAFE.PROPORTION
CAPE.MAY_NJ.All.JGS.SAFE.PROPORTION
CHATHAM_MA.All.JGS.SAFE.PROPORTION
FRIENDSHIP_ME.All.JGS.SAFE.PROPORTION
GLOUCESTER_MA.All.JGS.SAFE.PROPORTION
GOULDSBORO.COREA.PROSPECT.HARBOR_ME.All.JGS.SAFE.PROPORTION
HARPSWELL.BAILEY.ISLAND_ME.All.JGS.SAFE.PROPORTION
MONTAUK_NY.All.JGS.SAFE.PROPORTION
NEW.BEDFORD_MA.All.JGS.SAFE.PROPORTION
NEW.LONDON_CT.All.JGS.SAFE.PROPORTION
NEWINGTON_NH.All.JGS.SAFE.PROPORTION
NEWPORT_RI.All.JGS.SAFE.PROPORTION
NEWPORT.NEWS_VA.All.JGS.SAFE.PROPORTION
OCEAN.CITY_MD.All.JGS.SAFE.PROPORTION
PLYMOUTH_MA.All.JGS.SAFE.PROPORTION
POINT.JUDITH_RI.All.JGS.SAFE.PROPORTION
POINT.PLEASANT_NJ.All.JGS.SAFE.PROPORTION
PORTLAND_ME.All.JGS.SAFE.PROPORTION
PORTSMOUTH_NH.All.JGS.SAFE.PROPORTION
PROVINCETOWN_MA.All.JGS.SAFE.PROPORTION
ROCKLAND_ME.All.JGS.SAFE.PROPORTION
SCITUATE.NORTH.SCITUATE_MA.All.JGS.SAFE.PROPORTION
STONINGTON_ME.All.JGS.SAFE.PROPORTION
STONINGTON.MYSTIC.PAWCATUCK_CT.All.JGS.SAFE.PROPORTION
YORK.HARBOR_ME.All.JGS.SAFE.PROPORTION
